Node,AttackType,TimeStep,InitialEnergy,EnergyLevel,EnergyDrained,ActualEnergyConsumed,ActualAttackSuccessRate,AttackDuration
58,PhysicalCapture,18,2000,0,-3.49716351877152,-3.49716351877152,-0.0355903340575912,36
69,PhysicalCapture,18,2000,0,-3.49716351877152,-3.49716351877152,-0.0355903340575912,36
72,PhysicalCapture,18,2000,0,-3.49716351877152,-3.49716351877152,-0.0355903340575912,36
94,PhysicalCapture,18,2000,0,-3.49716351877152,-3.49716351877152,-0.0355903340575912,36
97,PhysicalCapture,18,2000,0,-3.49716351877152,-3.49716351877152,-0.0355903340575912,36
98,PhysicalCapture,18,2000,0,-3.49716351877152,-3.49716351877152,-0.0355903340575912,36
1,PhysicalCapture,19,2000,0,-3.49086862443773,-3.49086862443773,-0.0355251467920876,36
25,PhysicalCapture,19,2000,0,-3.49086862443773,-3.49086862443773,-0.0355251467920876,36
44,PhysicalCapture,19,2000,0,-3.49086862443773,-3.49086862443773,-0.0355251467920876,36
49,PhysicalCapture,19,2000,0,-3.49086862443773,-3.49086862443773,-0.0355251467920876,36
58,PhysicalCapture,19,2000,0,-3.49086862443773,-3.49086862443773,-0.0355251467920876,36
69,PhysicalCapture,19,2000,0,-3.49086862443773,-3.49086862443773,-0.0355251467920876,36
72,PhysicalCapture,19,2000,0,-3.49086862443773,-3.49086862443773,-0.0355251467920876,36
94,PhysicalCapture,19,2000,0,-3.49086862443773,-3.49086862443773,-0.0355251467920876,36
97,PhysicalCapture,19,2000,0,-3.49086862443773,-3.49086862443773,-0.0355251467920876,36
98,PhysicalCapture,19,2000,0,-3.49086862443773,-3.49086862443773,-0.0355251467920876,36
1,PhysicalCapture,20,2000,0,-3.48458506091374,-3.48458506091374,-0.03546008095593,36
25,PhysicalCapture,20,2000,0,-3.48458506091374,-3.48458506091374,-0.03546008095593,36
44,PhysicalCapture,20,2000,0,-3.48458506091374,-3.48458506091374,-0.03546008095593,36
49,PhysicalCapture,20,2000,0,-3.48458506091374,-3.48458506091374,-0.03546008095593,36
58,PhysicalCapture,20,2000,0,-3.48458506091374,-3.48458506091374,-0.03546008095593,36
69,PhysicalCapture,20,2000,0,-3.48458506091374,-3.48458506091374,-0.03546008095593,36
72,PhysicalCapture,20,2000,0,-3.48458506091374,-3.48458506091374,-0.03546008095593,36
94,PhysicalCapture,20,2000,0,-3.48458506091374,-3.48458506091374,-0.03546008095593,36
97,PhysicalCapture,20,2000,0,-3.48458506091374,-3.48458506091374,-0.03546008095593,36
98,PhysicalCapture,20,2000,0,-3.48458506091374,-3.48458506091374,-0.03546008095593,36
1,PhysicalCapture,21,2000,0,-3.47831280780409,-3.47831280780409,-0.0353951363155705,36
25,PhysicalCapture,21,2000,0,-3.47831280780409,-3.47831280780409,-0.0353951363155705,36
44,PhysicalCapture,21,2000,0,-3.47831280780409,-3.47831280780409,-0.0353951363155705,36
49,PhysicalCapture,21,2000,0,-3.47831280780409,-3.47831280780409,-0.0353951363155705,36
58,PhysicalCapture,21,2000,0,-3.47831280780409,-3.47831280780409,-0.0353951363155705,36
69,PhysicalCapture,21,2000,0,-3.47831280780409,-3.47831280780409,-0.0353951363155705,36
72,PhysicalCapture,21,2000,0,-3.47831280780409,-3.47831280780409,-0.0353951363155705,36
94,PhysicalCapture,21,2000,0,-3.47831280780409,-3.47831280780409,-0.0353951363155705,36
97,PhysicalCapture,21,2000,0,-3.47831280780409,-3.47831280780409,-0.0353951363155705,36
98,PhysicalCapture,21,2000,0,-3.47831280780409,-3.47831280780409,-0.0353951363155705,36
1,PhysicalCapture,22,2000,0,-3.47205184475005,-3.47205184475005,-0.0353303126379367,36
25,PhysicalCapture,22,2000,0,-3.47205184475005,-3.47205184475005,-0.0353303126379367,36
44,PhysicalCapture,22,2000,0,-3.47205184475005,-3.47205184475005,-0.0353303126379367,36
49,PhysicalCapture,22,2000,0,-3.47205184475005,-3.47205184475005,-0.0353303126379367,36
58,PhysicalCapture,22,2000,0,-3.47205184475005,-3.47205184475005,-0.0353303126379367,36
69,PhysicalCapture,22,2000,0,-3.47205184475005,-3.47205184475005,-0.0353303126379367,36
72,PhysicalCapture,22,2000,0,-3.47205184475005,-3.47205184475005,-0.0353303126379367,36
94,PhysicalCapture,22,2000,0,-3.47205184475005,-3.47205184475005,-0.0353303126379367,36
97,PhysicalCapture,22,2000,0,-3.47205184475005,-3.47205184475005,-0.0353303126379367,36
98,PhysicalCapture,22,2000,0,-3.47205184475005,-3.47205184475005,-0.0353303126379367,36
1,PhysicalCapture,23,2000,0,-3.4658021514295,-3.4658021514295,-0.0352656096904311,36
25,PhysicalCapture,23,2000,0,-3.4658021514295,-3.4658021514295,-0.0352656096904311,36
44,PhysicalCapture,23,2000,0,-3.4658021514295,-3.4658021514295,-0.0352656096904311,36
49,PhysicalCapture,23,2000,0,-3.4658021514295,-3.4658021514295,-0.0352656096904311,36
58,PhysicalCapture,23,2000,0,-3.4658021514295,-3.4658021514295,-0.0352656096904311,36
